,Feature,Label,Full
1640,DP04_0121PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 20.0 to 24.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent
1644,DP04_0122PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 25.0 to 29.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent
1648,DP04_0123PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 30.0 to 34.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent
1652,DP04_0124PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 35.0 percent or more,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more
1656,DP04_0125PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) Not computed,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed
1660,DP04_0126PE,GROSS RENT Occupied units paying rent,Percent Estimate!!GROSS RENT!!Occupied units paying rent
1664,DP04_0127PE,GROSS RENT Occupied units paying rent Less than $500,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!Less than $500
1668,DP04_0128PE,GROSS RENT Occupied units paying rent $500 to $999,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$500 to $999
1672,DP04_0129PE,"GROSS RENT Occupied units paying rent $1,000 to $1,499","Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499"
1676,DP04_0130PE,"GROSS RENT Occupied units paying rent $1,500 to $1,999","Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999"
1680,DP04_0131PE,"GROSS RENT Occupied units paying rent $2,000 to $2,499","Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499"
1684,DP04_0132PE,"GROSS RENT Occupied units paying rent $2,500 to $2,999","Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999"
1688,DP04_0133PE,"GROSS RENT Occupied units paying rent $3,000 or more","Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$3,000 or more"
1692,DP04_0134PE,GROSS RENT Occupied units paying rent Median (dollars),Percent Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars)
1696,DP04_0135PE,GROSS RENT Occupied units paying rent No rent paid,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!No rent paid
1700,DP04_0136PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed),Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)
1704,DP04_0137PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) Less than 15.0 percent,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent
1708,DP04_0138PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 15.0 to 19.9 percent,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent
1712,DP04_0139PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 20.0 to 24.9 percent,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent
1716,DP04_0140PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 25.0 to 29.9 percent,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent
1720,DP04_0141PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 30.0 to 34.9 percent,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent
1724,DP04_0142PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 35.0 percent or more,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more
1728,DP04_0143PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) Not computed,Percent Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed
1734,DP05_0032PE,SEX AND AGE Total population 65 years and over Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)
1738,DP05_0033PE,RACE Total population,Percent Estimate!!RACE!!Total population
1742,DP05_0034PE,RACE Total population One race,Percent Estimate!!RACE!!Total population!!One race
1746,DP05_0035PE,RACE Total population Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races
1750,DP05_0036PE,RACE Total population One race,Percent Estimate!!RACE!!Total population!!One race
1754,DP05_0037PE,RACE Total population One race White,Percent Estimate!!RACE!!Total population!!One race!!White
1758,DP05_0038PE,RACE Total population One race Black or African American,Percent Estimate!!RACE!!Total population!!One race!!Black or African American
1762,DP05_0039PE,RACE Total population One race American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native
1766,DP05_0040PE,RACE Total population One race American Indian and Alaska Native Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping
1770,DP05_0041PE,RACE Total population One race American Indian and Alaska Native Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping
1774,DP05_0042PE,RACE Total population One race American Indian and Alaska Native Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping
1778,DP05_0043PE,RACE Total population One race American Indian and Alaska Native Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping
1782,DP05_0044PE,RACE Total population One race Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian
1786,DP05_0045PE,RACE Total population One race Asian Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian
1790,DP05_0046PE,RACE Total population One race Asian Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese
1794,DP05_0047PE,RACE Total population One race Asian Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino
1798,DP05_0048PE,RACE Total population One race Asian Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese
1802,DP05_0049PE,RACE Total population One race Asian Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean
1806,DP05_0050PE,RACE Total population One race Asian Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese
1810,DP05_0051PE,RACE Total population One race Asian Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian
1814,DP05_0052PE,RACE Total population One race Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander
1818,DP05_0053PE,RACE Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian
1822,DP05_0054PE,RACE Total population One race Native Hawaiian and Other Pacific Islander Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro
1826,DP05_0055PE,RACE Total population One race Native Hawaiian and Other Pacific Islander Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan
1830,DP05_0056PE,RACE Total population One race Native Hawaiian and Other Pacific Islander Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
1834,DP05_0057PE,RACE Total population One race Some other race,Percent Estimate!!RACE!!Total population!!One race!!Some other race
1838,DP05_0058PE,RACE Total population Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races
1842,DP05_0059PE,RACE Total population Two or more races White and Black or African American,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American
1846,DP05_0060PE,RACE Total population Two or more races White and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native
1850,DP05_0061PE,RACE Total population Two or more races White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian
1854,DP05_0062PE,RACE Total population Two or more races Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native
1858,DP05_0063PE,Race alone or in combination with one or more other races Total population,Percent Estimate!!Race alone or in combination with one or more other races!!Total population
1862,DP05_0064PE,Race alone or in combination with one or more other races Total population White,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!White
1866,DP05_0065PE,Race alone or in combination with one or more other races Total population Black or African American,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American
1870,DP05_0066PE,Race alone or in combination with one or more other races Total population American Indian and Alaska Native,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native
1874,DP05_0067PE,Race alone or in combination with one or more other races Total population Asian,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian
1878,DP05_0068PE,Race alone or in combination with one or more other races Total population Native Hawaiian and Other Pacific Islander,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander
1882,DP05_0069PE,Race alone or in combination with one or more other races Total population Some other race,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race
1886,DP05_0070PE,HISPANIC OR LATINO AND RACE Total population,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population
1890,DP05_0071PE,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race),Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
1894,DP05_0072PE,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race) Mexican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican
1898,DP05_0073PE,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race) Puerto Rican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican
1902,DP05_0074PE,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race) Cuban,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban
1906,DP05_0075PE,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino
1910,DP05_0076PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
1914,DP05_0077PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino White alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone
1918,DP05_0078PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Black or African American alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone
1922,DP05_0079PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino American Indian and Alaska Native alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone
1926,DP05_0080PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Asian alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone
1930,DP05_0081PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone
1934,DP05_0082PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Some other race alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone
1938,DP05_0083PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races
1942,DP05_0084PE,HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Two or more races Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race
1946,DP05_0085PE,"HISPANIC OR LATINO AND RACE Total population Not Hispanic or Latino Two or more races Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races"
1950,DP05_0086PE,Total housing units,Percent Estimate!!Total housing units
1954,DP05_0087PE,"CITIZEN, VOTING AGE POPULATION Citizen, 18 and over population","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
1958,DP05_0088PE,"CITIZEN, VOTING AGE POPULATION Citizen, 18 and over population Male","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male"
1962,DP05_0089PE,"CITIZEN, VOTING AGE POPULATION Citizen, 18 and over population Female","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
1966,DP05_0001PE,SEX AND AGE Total population,Percent Estimate!!SEX AND AGE!!Total population
1970,DP05_0002PE,SEX AND AGE Total population Male,Percent Estimate!!SEX AND AGE!!Total population!!Male
1974,DP05_0003PE,SEX AND AGE Total population Female,Percent Estimate!!SEX AND AGE!!Total population!!Female
1978,DP05_0004PE,SEX AND AGE Total population Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)
1982,DP05_0005PE,SEX AND AGE Total population Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years
1986,DP05_0006PE,SEX AND AGE Total population 5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years
1990,DP05_0007PE,SEX AND AGE Total population 10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years
1994,DP05_0008PE,SEX AND AGE Total population 15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years
1998,DP05_0009PE,SEX AND AGE Total population 20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years
2002,DP05_0010PE,SEX AND AGE Total population 25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years
2006,DP05_0011PE,SEX AND AGE Total population 35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years
2010,DP05_0012PE,SEX AND AGE Total population 45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years
2014,DP05_0013PE,SEX AND AGE Total population 55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years
2018,DP05_0014PE,SEX AND AGE Total population 60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years
2022,DP05_0015PE,SEX AND AGE Total population 65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years
2026,DP05_0016PE,SEX AND AGE Total population 75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years
2030,DP05_0017PE,SEX AND AGE Total population 85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over
2034,DP05_0018PE,SEX AND AGE Total population Median age (years),Percent Estimate!!SEX AND AGE!!Total population!!Median age (years)
2038,DP05_0019PE,SEX AND AGE Total population Under 18 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 18 years
2042,DP05_0020PE,SEX AND AGE Total population 16 years and over,Percent Estimate!!SEX AND AGE!!Total population!!16 years and over
2046,DP05_0021PE,SEX AND AGE Total population 18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over
2050,DP05_0022PE,SEX AND AGE Total population 21 years and over,Percent Estimate!!SEX AND AGE!!Total population!!21 years and over
2054,DP05_0023PE,SEX AND AGE Total population 62 years and over,Percent Estimate!!SEX AND AGE!!Total population!!62 years and over
2058,DP05_0024PE,SEX AND AGE Total population 65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over
2062,DP05_0025PE,SEX AND AGE Total population 18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over
2066,DP05_0026PE,SEX AND AGE Total population 18 years and over Male,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male
2070,DP05_0027PE,SEX AND AGE Total population 18 years and over Female,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female
2074,DP05_0028PE,SEX AND AGE Total population 18 years and over Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)
2078,DP05_0029PE,SEX AND AGE Total population 65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over
2082,DP05_0030PE,SEX AND AGE Total population 65 years and over Male,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male
2086,DP05_0031PE,SEX AND AGE Total population 65 years and over Female,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female
